Wavelength,Value,Boxcolor,Lightintensity
999,2.87E-02,darkcontrol,low
999.5,1.69E-02,darkcontrol,low
1000,5.75E-03,darkcontrol,low
1000.5,1.55E-02,darkcontrol,low
1001,8.57E-03,darkcontrol,low
1001.5,4.14E-03,darkcontrol,low
1002,8.83E-03,darkcontrol,low
1002.5,3.08E-03,darkcontrol,low
1003,0.00E+00,darkcontrol,low
1003.5,6.13E-03,darkcontrol,low
1004,8.55E-04,darkcontrol,low
1004.5,1.63E-02,darkcontrol,low
1005,1.69E-02,darkcontrol,low
1005.5,7.45E-03,darkcontrol,low
1006,3.83E-03,darkcontrol,low
1006.5,0.00E+00,darkcontrol,low
1007,7.66E-03,darkcontrol,low
1007.5,3.40E-03,darkcontrol,low
1008,8.36E-03,darkcontrol,low
1008.5,4.65E-03,darkcontrol,low
1009,7.60E-03,darkcontrol,low
1009.5,2.20E-03,darkcontrol,low
1010,1.78E-02,darkcontrol,low
1010.5,0.00E+00,darkcontrol,low
1011,5.61E-03,darkcontrol,low
1011.5,1.73E-02,darkcontrol,low
1012,8.66E-03,darkcontrol,low
1012.5,1.30E-02,darkcontrol,low
1013,2.19E-02,darkcontrol,low
1013.5,2.32E-02,darkcontrol,low
1014,1.41E-03,darkcontrol,low
1014.5,5.09E-04,darkcontrol,low
1015,1.41E-02,darkcontrol,low
1015.5,7.91E-03,darkcontrol,low
1016,3.01E-02,darkcontrol,low
1016.5,1.82E-02,darkcontrol,low
1017,1.76E-02,darkcontrol,low
1017.5,1.22E-02,darkcontrol,low
1018,2.74E-02,darkcontrol,low
1018.5,3.60E-02,darkcontrol,low
1019,1.74E-02,darkcontrol,low
1019.5,2.72E-02,darkcontrol,low
1020,2.87E-02,darkcontrol,low
1020.5,2.73E-02,darkcontrol,low
1021,3.48E-02,darkcontrol,low
1021.5,4.57E-02,darkcontrol,low
1022,4.06E-02,darkcontrol,low
1022.5,4.03E-02,darkcontrol,low
1023,5.11E-02,darkcontrol,low
1023.5,7.28E-02,darkcontrol,low
1024,6.08E-02,darkcontrol,low
1024.5,6.53E-02,darkcontrol,low
1025,4.55E-02,darkcontrol,low
1025.5,6.52E-02,darkcontrol,low
1026,3.96E-02,darkcontrol,low
1026.5,6.33E-02,darkcontrol,low
1027,7.71E-02,darkcontrol,low
1027.5,4.54E-02,darkcontrol,low
1028,5.42E-02,darkcontrol,low
1028.5,5.79E-02,darkcontrol,low
1029,2.88E-02,darkcontrol,low
1029.5,3.13E-02,darkcontrol,low
1030,8.15E-02,darkcontrol,low
1030.5,1.09E-01,darkcontrol,low
1031,1.66E-02,darkcontrol,low
1031.5,8.89E-02,darkcontrol,low
1032,6.31E-02,darkcontrol,low
1032.5,9.09E-02,darkcontrol,low
1033,1.02E-01,darkcontrol,low
1033.5,1.08E-01,darkcontrol,low
1034,1.07E-01,darkcontrol,low
1034.5,1.33E-01,darkcontrol,low
1035,1.10E-01,darkcontrol,low
1035.5,9.67E-02,darkcontrol,low
1036,5.85E-02,darkcontrol,low
1036.5,6.48E-02,darkcontrol,low
1037,3.75E-02,darkcontrol,low
1037.5,7.16E-02,darkcontrol,low
1038,9.39E-02,darkcontrol,low
1038.5,9.87E-02,darkcontrol,low
1039,9.05E-02,darkcontrol,low
1039.5,8.48E-02,darkcontrol,low
1040,7.70E-02,darkcontrol,low
1040.5,1.21E-01,darkcontrol,low
1041,1.35E-01,darkcontrol,low
1041.5,1.52E-01,darkcontrol,low
1042,1.10E-01,darkcontrol,low
1042.5,1.31E-01,darkcontrol,low
1043,8.13E-02,darkcontrol,low
1043.5,1.11E-01,darkcontrol,low
1044,6.88E-02,darkcontrol,low
1044.5,1.15E-01,darkcontrol,low
1045,1.41E-01,darkcontrol,low
1045.5,1.74E-01,darkcontrol,low
1046,1.36E-01,darkcontrol,low
1046.5,6.21E-02,darkcontrol,low
1047,4.73E-02,darkcontrol,low
1047.5,3.73E-02,darkcontrol,low
1048,8.02E-02,darkcontrol,low
1048.5,1.12E-01,darkcontrol,low
1049,1.21E-01,darkcontrol,low
1049.5,1.50E-01,darkcontrol,low
1050,6.85E-02,darkcontrol,low
1050.5,7.90E-02,darkcontrol,low
1051,2.81E-02,darkcontrol,low
1051.5,1.66E-02,darkcontrol,low
1052,2.48E-02,darkcontrol,low
1052.5,3.46E-02,darkcontrol,low
1053,9.26E-02,darkcontrol,low
1053.5,8.99E-02,darkcontrol,low
1054,3.51E-02,darkcontrol,low
1054.5,7.84E-02,darkcontrol,low
1055,1.16E-02,darkcontrol,low
1055.5,1.28E-01,darkcontrol,low
1056,8.98E-02,darkcontrol,low
1056.5,1.40E-01,darkcontrol,low
1057,4.38E-02,darkcontrol,low
1057.5,6.29E-02,darkcontrol,low
1058,3.79E-03,darkcontrol,low
1058.5,2.34E-02,darkcontrol,low
1059,1.12E-01,darkcontrol,low
1059.5,1.47E-01,darkcontrol,low
1060,2.15E-01,darkcontrol,low
1060.5,1.73E-01,darkcontrol,low
1061,2.36E-01,darkcontrol,low
1061.5,2.89E-01,darkcontrol,low
1062,1.60E-01,darkcontrol,low
1062.5,2.89E-01,darkcontrol,low
1063,2.60E-01,darkcontrol,low
1063.5,2.37E-01,darkcontrol,low
1064,2.27E-01,darkcontrol,low
1064.5,2.37E-01,darkcontrol,low
1065,1.70E-01,darkcontrol,low
1065.5,1.13E-01,darkcontrol,low
1066,1.34E-01,darkcontrol,low
1066.5,8.56E-02,darkcontrol,low
1067,1.07E-01,darkcontrol,low
1067.5,1.70E-01,darkcontrol,low
1068,1.80E-01,darkcontrol,low
1068.5,1.37E-01,darkcontrol,low
1069,1.04E-01,darkcontrol,low
1069.5,1.29E-01,darkcontrol,low
1070,1.89E-01,darkcontrol,low
1070.5,2.83E-01,darkcontrol,low
1071,2.05E-01,darkcontrol,low
1071.5,1.30E-01,darkcontrol,low
1072,1.32E-01,darkcontrol,low
1072.5,1.54E-01,darkcontrol,low
1073,6.48E-02,darkcontrol,low
1073.5,8.99E-03,darkcontrol,low
1074,7.17E-02,darkcontrol,low
1074.5,1.56E-01,darkcontrol,low
1075,3.86E-02,darkcontrol,low
1075.5,1.56E-01,darkcontrol,low
1076,1.50E-01,darkcontrol,low
1076.5,8.03E-02,darkcontrol,low
1077,1.19E-01,darkcontrol,low
1077.5,1.08E-01,darkcontrol,low
1078,1.39E-01,darkcontrol,low
1078.5,2.59E-01,darkcontrol,low
1079,2.50E-01,darkcontrol,low
1079.5,2.46E-01,darkcontrol,low
1080,2.02E-01,darkcontrol,low
1080.5,2.23E-01,darkcontrol,low
1081,3.58E-01,darkcontrol,low
1081.5,3.72E-01,darkcontrol,low
1082,3.63E-01,darkcontrol,low
1082.5,2.97E-01,darkcontrol,low
1083,1.88E-01,darkcontrol,low
1083.5,1.29E-01,darkcontrol,low
1084,1.47E-01,darkcontrol,low
1084.5,1.72E-01,darkcontrol,low
1085,2.75E-01,darkcontrol,low
1085.5,2.38E-01,darkcontrol,low
1086,1.82E-01,darkcontrol,low
1086.5,1.64E-01,darkcontrol,low
1087,1.53E-01,darkcontrol,low
1087.5,2.24E-01,darkcontrol,low
1088,2.50E-01,darkcontrol,low
1088.5,4.10E-01,darkcontrol,low
1089,4.08E-01,darkcontrol,low
1089.5,5.50E-01,darkcontrol,low
1090,4.24E-01,darkcontrol,low
1090.5,3.66E-01,darkcontrol,low
1091,3.16E-01,darkcontrol,low
1091.5,2.67E-01,darkcontrol,low
1092,1.13E-01,darkcontrol,low
1092.5,7.14E-02,darkcontrol,low
1093,0.00E+00,darkcontrol,low
1093.5,0.00E+00,darkcontrol,low
1094,5.73E-03,darkcontrol,low
1094.5,2.73E-02,darkcontrol,low
1095,4.21E-02,darkcontrol,low
1095.5,2.72E-02,darkcontrol,low
1096,2.05E-03,darkcontrol,low
1096.5,9.19E-02,darkcontrol,low
1097,1.42E-01,darkcontrol,low
1097.5,1.84E-01,darkcontrol,low
1098,1.61E-01,darkcontrol,low
1098.5,3.99E-01,darkcontrol,low
1099,1.96E-01,darkcontrol,low
1099.5,1.43E-01,darkcontrol,low
1100,0.00E+00,darkcontrol,low
1100.5,0.00E+00,darkcontrol,low
1101,0.00E+00,darkcontrol,low
1101.5,0.00E+00,darkcontrol,low
1102,0.00E+00,darkcontrol,low
1102.5,0.00E+00,darkcontrol,low
1103,0.00E+00,darkcontrol,low
1103.5,0.00E+00,darkcontrol,low
1104,0.00E+00,darkcontrol,low
1104.5,0.00E+00,darkcontrol,low
1105,0.00E+00,darkcontrol,low
1105.5,0.00E+00,darkcontrol,low
1106,0.00E+00,darkcontrol,low
1106.5,0.00E+00,darkcontrol,low
1107,0.00E+00,darkcontrol,low
1107.5,0.00E+00,darkcontrol,low
1108,0.00E+00,darkcontrol,low
1108.5,0.00E+00,darkcontrol,low
1109,0.00E+00,darkcontrol,low
1109.5,0.00E+00,darkcontrol,low
1110,0.00E+00,darkcontrol,low
1110.5,0.00E+00,darkcontrol,low
1111,0.00E+00,darkcontrol,low
1111.5,0.00E+00,darkcontrol,low
1112,0.00E+00,darkcontrol,low
1112.5,0.00E+00,darkcontrol,low
1113,0.00E+00,darkcontrol,low
1113.5,0.00E+00,darkcontrol,low
1114,0.00E+00,darkcontrol,low
1114.5,0.00E+00,darkcontrol,low
1115,0.00E+00,darkcontrol,low
1115.5,0.00E+00,darkcontrol,low
1116,0.00E+00,darkcontrol,low
1116.5,0.00E+00,darkcontrol,low
1117,0.00E+00,darkcontrol,low
1117.5,0.00E+00,darkcontrol,low
1118,0.00E+00,darkcontrol,low
1118.5,0.00E+00,darkcontrol,low
1119,0.00E+00,darkcontrol,low
1119.5,0.00E+00,darkcontrol,low
1120,0.00E+00,darkcontrol,low
1120.5,0.00E+00,darkcontrol,low
1121,0.00E+00,darkcontrol,low
1121.5,0.00E+00,darkcontrol,low
1122,0.00E+00,darkcontrol,low
1122.5,0.00E+00,darkcontrol,low
1123,0.00E+00,darkcontrol,low
1123.5,0.00E+00,darkcontrol,low
1124,0.00E+00,darkcontrol,low
1124.5,0.00E+00,darkcontrol,low
1125,0.00E+00,darkcontrol,low
1125.5,0.00E+00,darkcontrol,low
1126,0.00E+00,darkcontrol,low
1126.5,0.00E+00,darkcontrol,low
1127,0.00E+00,darkcontrol,low
1127.5,0.00E+00,darkcontrol,low
1128,0.00E+00,darkcontrol,low
1128.5,0.00E+00,darkcontrol,low
1129,0.00E+00,darkcontrol,low
1129.5,0.00E+00,darkcontrol,low
1130,0.00E+00,darkcontrol,low
1130.5,0.00E+00,darkcontrol,low
1131,0.00E+00,darkcontrol,low
1131.5,0.00E+00,darkcontrol,low
1132,0.00E+00,darkcontrol,low
1132.5,0.00E+00,darkcontrol,low
1133,0.00E+00,darkcontrol,low
1133.5,0.00E+00,darkcontrol,low
1134,0.00E+00,darkcontrol,low
1134.5,0.00E+00,darkcontrol,low
1135,0.00E+00,darkcontrol,low
1135.5,0.00E+00,darkcontrol,low
1136,0.00E+00,darkcontrol,low
1136.5,0.00E+00,darkcontrol,low
1137,0.00E+00,darkcontrol,low
1137.5,0.00E+00,darkcontrol,low
1138,0.00E+00,darkcontrol,low
1138.5,0.00E+00,darkcontrol,low
1139,0.00E+00,darkcontrol,low
1139.5,0.00E+00,darkcontrol,low
1140,0.00E+00,darkcontrol,low
1140.5,0.00E+00,darkcontrol,low
1141,0.00E+00,darkcontrol,low
1141.5,0.00E+00,darkcontrol,low
1142,0.00E+00,darkcontrol,low
1142.5,0.00E+00,darkcontrol,low
1143,0.00E+00,darkcontrol,low
1143.5,0.00E+00,darkcontrol,low
1144,0.00E+00,darkcontrol,low
1144.5,0.00E+00,darkcontrol,low
1145,0.00E+00,darkcontrol,low
1145.5,0.00E+00,darkcontrol,low
1146,0.00E+00,darkcontrol,low
1146.5,0.00E+00,darkcontrol,low
1147,0.00E+00,darkcontrol,low
1147.5,0.00E+00,darkcontrol,low
1148,0.00E+00,darkcontrol,low
1148.5,0.00E+00,darkcontrol,low
1149,0.00E+00,darkcontrol,low
1149.5,0.00E+00,darkcontrol,low
1150,0.00E+00,darkcontrol,low
1150.5,0.00E+00,darkcontrol,low
1151,0.00E+00,darkcontrol,low
1151.5,0.00E+00,darkcontrol,low
1152,0.00E+00,darkcontrol,low
1152.5,0.00E+00,darkcontrol,low
1153,0.00E+00,darkcontrol,low
1153.5,0.00E+00,darkcontrol,low
1154,0.00E+00,darkcontrol,low
1154.5,0.00E+00,darkcontrol,low
1155,0.00E+00,darkcontrol,low
1155.5,0.00E+00,darkcontrol,low
1156,0.00E+00,darkcontrol,low
1156.5,0.00E+00,darkcontrol,low
1157,0.00E+00,darkcontrol,low
1157.5,0.00E+00,darkcontrol,low
1158,0.00E+00,darkcontrol,low
1158.5,0.00E+00,darkcontrol,low
1159,0.00E+00,darkcontrol,low
1159.5,0.00E+00,darkcontrol,low
1160,0.00E+00,darkcontrol,low
1160.5,0.00E+00,darkcontrol,low
1161,0.00E+00,darkcontrol,low
1161.5,0.00E+00,darkcontrol,low
1162,0.00E+00,darkcontrol,low
1162.5,0.00E+00,darkcontrol,low
1163,0.00E+00,darkcontrol,low
1163.5,0.00E+00,darkcontrol,low
1164,0.00E+00,darkcontrol,low
1164.5,0.00E+00,darkcontrol,low
1165,0.00E+00,darkcontrol,low
1165.5,0.00E+00,darkcontrol,low
1166,0.00E+00,darkcontrol,low
1166.5,0.00E+00,darkcontrol,low
1167,0.00E+00,darkcontrol,low
1167.5,0.00E+00,darkcontrol,low
1168,0.00E+00,darkcontrol,low
1168.5,0.00E+00,darkcontrol,low
1169,0.00E+00,darkcontrol,low
1169.5,0.00E+00,darkcontrol,low
1170,0.00E+00,darkcontrol,low
1170.5,0.00E+00,darkcontrol,low
1171,0.00E+00,darkcontrol,low
1171.5,0.00E+00,darkcontrol,low
1172,0.00E+00,darkcontrol,low
1172.5,0.00E+00,darkcontrol,low
1173,0.00E+00,darkcontrol,low
1173.5,0.00E+00,darkcontrol,low
1174,0.00E+00,darkcontrol,low
1174.5,0.00E+00,darkcontrol,low
1175,0.00E+00,darkcontrol,low
1175.5,0.00E+00,darkcontrol,low
1176,0.00E+00,darkcontrol,low
1176.5,0.00E+00,darkcontrol,low
1177,0.00E+00,darkcontrol,low
1177.5,0.00E+00,darkcontrol,low
1178,0.00E+00,darkcontrol,low
1178.5,0.00E+00,darkcontrol,low
1179,0.00E+00,darkcontrol,low
1179.5,0.00E+00,darkcontrol,low
1180,0.00E+00,darkcontrol,low
1180.5,0.00E+00,darkcontrol,low
1181,0.00E+00,darkcontrol,low
1181.5,0.00E+00,darkcontrol,low
1182,0.00E+00,darkcontrol,low
1182.5,0.00E+00,darkcontrol,low
1183,0.00E+00,darkcontrol,low
1183.5,0.00E+00,darkcontrol,low
1184,0.00E+00,darkcontrol,low
1184.5,0.00E+00,darkcontrol,low
338,0.00E+00,dark,low
338.5,0.00E+00,dark,low
339,0.00E+00,dark,low
339.5,0.00E+00,dark,low
340,0.00E+00,dark,low
340.5,0.00E+00,dark,low
341,0.00E+00,dark,low
341.5,0.00E+00,dark,low
342,0.00E+00,dark,low
342.5,0.00E+00,dark,low
343,0.00E+00,dark,low
343.5,0.00E+00,dark,low
344,0.00E+00,dark,low
344.5,0.00E+00,dark,low
345,0.00E+00,dark,low
345.5,0.00E+00,dark,low
346,0.00E+00,dark,low
346.5,0.00E+00,dark,low
347,0.00E+00,dark,low
347.5,0.00E+00,dark,low
348,0.00E+00,dark,low
348.5,0.00E+00,dark,low
349,0.00E+00,dark,low
349.5,0.00E+00,dark,low
350,1.67E-07,dark,low
350.5,9.06E-04,dark,low
351,1.92E-03,dark,low
351.5,1.68E-03,dark,low
352,1.91E-03,dark,low
352.5,5.36E-04,dark,low
353,1.53E-04,dark,low
353.5,7.53E-04,dark,low
354,1.47E-03,dark,low
354.5,7.28E-04,dark,low
355,5.86E-04,dark,low
355.5,8.68E-04,dark,low
356,3.85E-05,dark,low
356.5,4.26E-04,dark,low
357,0.00E+00,dark,low
357.5,2.15E-04,dark,low
358,4.09E-04,dark,low
358.5,0.00E+00,dark,low
359,0.00E+00,dark,low
359.5,0.00E+00,dark,low
360,0.00E+00,dark,low
360.5,1.15E-03,dark,low
361,0.00E+00,dark,low
361.5,2.54E-04,dark,low
362,4.13E-05,dark,low
362.5,3.33E-04,dark,low
363,2.64E-04,dark,low
363.5,1.46E-05,dark,low
364,4.30E-05,dark,low
364.5,4.84E-04,dark,low
365,5.92E-04,dark,low
365.5,4.64E-05,dark,low
366,7.51E-05,dark,low
366.5,1.52E-04,dark,low
367,2.12E-06,dark,low
367.5,5.42E-04,dark,low
368,4.14E-04,dark,low
368.5,4.24E-04,dark,low
369,2.97E-04,dark,low
369.5,1.58E-06,dark,low
370,1.90E-05,dark,low
370.5,3.99E-04,dark,low
371,0.00E+00,dark,low
371.5,0.00E+00,dark,low
372,1.41E-05,dark,low
372.5,1.05E-04,dark,low
373,0.00E+00,dark,low
373.5,0.00E+00,dark,low
374,0.00E+00,dark,low
374.5,7.64E-05,dark,low
375,5.32E-05,dark,low
375.5,2.93E-04,dark,low
376,8.07E-05,dark,low
376.5,4.86E-04,dark,low
377,0.00E+00,dark,low
377.5,9.90E-06,dark,low
378,1.72E-04,dark,low
378.5,0.00E+00,dark,low
379,1.03E-04,dark,low
379.5,0.00E+00,dark,low
380,0.00E+00,dark,low
380.5,0.00E+00,dark,low
381,0.00E+00,dark,low
381.5,1.40E-04,dark,low
382,8.03E-05,dark,low
382.5,5.20E-04,dark,low
383,5.03E-04,dark,low
383.5,7.86E-04,dark,low
384,3.73E-04,dark,low
384.5,1.26E-03,dark,low
385,5.59E-04,dark,low
385.5,2.84E-04,dark,low
386,0.00E+00,dark,low
386.5,1.99E-04,dark,low
387,8.42E-04,dark,low
387.5,2.69E-04,dark,low
388,3.83E-05,dark,low
388.5,3.00E-05,dark,low
389,5.59E-05,dark,low
389.5,0.00E+00,dark,low
390,0.00E+00,dark,low
390.5,2.86E-04,dark,low
391,1.14E-04,dark,low
391.5,0.00E+00,dark,low
392,3.39E-04,dark,low
392.5,4.39E-04,dark,low
393,4.15E-04,dark,low
393.5,6.98E-05,dark,low
394,8.11E-04,dark,low
394.5,3.80E-04,dark,low
395,9.84E-04,dark,low
395.5,8.16E-04,dark,low
396,6.65E-04,dark,low
396.5,3.61E-04,dark,low
397,2.60E-04,dark,low
397.5,3.41E-04,dark,low
398,4.40E-04,dark,low
398.5,3.78E-05,dark,low
399,7.97E-05,dark,low
399.5,4.23E-05,dark,low
400,0.00E+00,dark,low
400.5,0.00E+00,dark,low
401,0.00E+00,dark,low
401.5,1.93E-04,dark,low
402,5.11E-04,dark,low
402.5,4.81E-04,dark,low
403,6.14E-04,dark,low
403.5,6.27E-04,dark,low
404,3.75E-04,dark,low
404.5,6.16E-04,dark,low
405,1.10E-05,dark,low
405.5,2.54E-04,dark,low
406,6.06E-06,dark,low
406.5,1.40E-04,dark,low
407,1.25E-04,dark,low
407.5,0.00E+00,dark,low
408,0.00E+00,dark,low
408.5,0.00E+00,dark,low
409,0.00E+00,dark,low
409.5,0.00E+00,dark,low
410,0.00E+00,dark,low
410.5,4.81E-05,dark,low
411,1.55E-04,dark,low
411.5,2.37E-04,dark,low
412,2.41E-04,dark,low
412.5,2.89E-04,dark,low
413,4.73E-04,dark,low
413.5,5.03E-04,dark,low
414,9.12E-04,dark,low
414.5,4.74E-04,dark,low
415,2.07E-04,dark,low
415.5,0.00E+00,dark,low
416,2.48E-05,dark,low
416.5,3.10E-05,dark,low
417,0.00E+00,dark,low
417.5,0.00E+00,dark,low
418,0.00E+00,dark,low
418.5,0.00E+00,dark,low
419,0.00E+00,dark,low
419.5,0.00E+00,dark,low
420,0.00E+00,dark,low
420.5,0.00E+00,dark,low
421,5.94E-05,dark,low
421.5,0.00E+00,dark,low
422,0.00E+00,dark,low
422.5,1.62E-04,dark,low
423,4.93E-04,dark,low
423.5,6.96E-04,dark,low
424,1.01E-03,dark,low
424.5,4.12E-04,dark,low
425,3.65E-04,dark,low
425.5,0.00E+00,dark,low
426,0.00E+00,dark,low
426.5,0.00E+00,dark,low
427,0.00E+00,dark,low
427.5,0.00E+00,dark,low
428,5.58E-05,dark,low
428.5,2.97E-04,dark,low
429,2.71E-05,dark,low
429.5,0.00E+00,dark,low
430,1.70E-04,dark,low
430.5,6.36E-06,dark,low
431,2.38E-04,dark,low
431.5,3.64E-05,dark,low
432,3.53E-05,dark,low
432.5,4.84E-04,dark,low
433,4.22E-04,dark,low
433.5,8.42E-04,dark,low
434,9.37E-04,dark,low
434.5,1.28E-03,dark,low
435,1.69E-03,dark,low
435.5,2.49E-03,dark,low
436,2.59E-03,dark,low
436.5,2.34E-03,dark,low
437,1.46E-03,dark,low
437.5,1.20E-03,dark,low
438,8.49E-04,dark,low
438.5,1.95E-04,dark,low
439,2.46E-04,dark,low
439.5,3.29E-04,dark,low
440,3.30E-04,dark,low
440.5,1.74E-04,dark,low
441,2.16E-04,dark,low
441.5,5.64E-05,dark,low
442,3.10E-04,dark,low
442.5,0.00E+00,dark,low
443,1.52E-05,dark,low
443.5,1.99E-04,dark,low
444,6.34E-04,dark,low
444.5,8.59E-04,dark,low
445,7.18E-04,dark,low
445.5,1.03E-03,dark,low
446,8.70E-04,dark,low
446.5,1.13E-03,dark,low
447,1.03E-03,dark,low
447.5,1.16E-03,dark,low
448,8.34E-04,dark,low
448.5,5.65E-04,dark,low
449,8.53E-04,dark,low
449.5,5.04E-04,dark,low
450,6.11E-04,dark,low
450.5,3.89E-04,dark,low
451,5.11E-04,dark,low
451.5,2.68E-04,dark,low
452,3.89E-05,dark,low
452.5,1.77E-05,dark,low
453,1.47E-04,dark,low
453.5,8.57E-05,dark,low
454,4.38E-05,dark,low
454.5,8.11E-05,dark,low
455,0.00E+00,dark,low
455.5,0.00E+00,dark,low
456,8.45E-05,dark,low
456.5,5.64E-04,dark,low
457,8.18E-05,dark,low
457.5,2.96E-04,dark,low
458,6.30E-05,dark,low
458.5,1.66E-05,dark,low
459,0.00E+00,dark,low
459.5,0.00E+00,dark,low
460,0.00E+00,dark,low
460.5,3.37E-04,dark,low
461,2.02E-05,dark,low
461.5,2.20E-06,dark,low
462,9.66E-05,dark,low
462.5,4.94E-04,dark,low
463,7.37E-04,dark,low
463.5,3.47E-04,dark,low
464,6.18E-04,dark,low
464.5,1.04E-03,dark,low
465,5.70E-04,dark,low
465.5,4.51E-04,dark,low
466,2.85E-04,dark,low
466.5,7.19E-05,dark,low
467,2.64E-04,dark,low
467.5,3.13E-04,dark,low
468,1.76E-04,dark,low
468.5,2.79E-04,dark,low
469,3.14E-04,dark,low
469.5,4.40E-04,dark,low
470,6.83E-04,dark,low
470.5,1.10E-04,dark,low
471,5.06E-04,dark,low
471.5,3.45E-04,dark,low
472,1.95E-04,dark,low
472.5,1.48E-04,dark,low
473,3.01E-05,dark,low
473.5,2.97E-04,dark,low
474,4.24E-04,dark,low
474.5,4.15E-04,dark,low
475,4.61E-04,dark,low
475.5,1.94E-04,dark,low
476,4.67E-04,dark,low
476.5,2.32E-04,dark,low
477,2.32E-04,dark,low
477.5,4.03E-04,dark,low
478,1.18E-04,dark,low
478.5,3.93E-04,dark,low
479,5.49E-04,dark,low
479.5,6.42E-04,dark,low
480,4.67E-04,dark,low
480.5,1.45E-04,dark,low
481,2.47E-04,dark,low
481.5,4.44E-04,dark,low
482,4.10E-04,dark,low
482.5,3.33E-04,dark,low
483,5.12E-04,dark,low
483.5,4.26E-04,dark,low
484,5.54E-04,dark,low
484.5,1.83E-04,dark,low
485,6.28E-05,dark,low
485.5,1.58E-05,dark,low
486,2.31E-04,dark,low
486.5,2.60E-04,dark,low
487,3.57E-04,dark,low
487.5,5.75E-04,dark,low
488,4.18E-04,dark,low
488.5,2.77E-04,dark,low
489,3.09E-04,dark,low
489.5,2.71E-04,dark,low
490,1.67E-04,dark,low
490.5,1.28E-04,dark,low
491,4.40E-05,dark,low
491.5,4.61E-05,dark,low
492,2.47E-04,dark,low
492.5,3.83E-04,dark,low
493,3.31E-04,dark,low
493.5,3.15E-04,dark,low
494,3.39E-04,dark,low
494.5,2.25E-04,dark,low
495,3.00E-04,dark,low
495.5,4.56E-04,dark,low
496,4.02E-04,dark,low
496.5,2.58E-04,dark,low
497,4.10E-05,dark,low
497.5,2.77E-04,dark,low
498,8.01E-05,dark,low
498.5,2.41E-04,dark,low
499,4.33E-04,dark,low
499.5,4.71E-04,dark,low
500,2.52E-04,dark,low
500.5,2.18E-04,dark,low
501,3.86E-04,dark,low
501.5,1.76E-04,dark,low
502,5.49E-05,dark,low
502.5,2.04E-04,dark,low
503,1.58E-04,dark,low
503.5,5.84E-05,dark,low
504,1.52E-04,dark,low
504.5,1.70E-04,dark,low
505,1.65E-04,dark,low
505.5,1.48E-04,dark,low
506,0.00E+00,dark,low
506.5,7.19E-05,dark,low
507,2.73E-04,dark,low
507.5,3.23E-04,dark,low
508,3.77E-04,dark,low
508.5,2.51E-04,dark,low
509,3.61E-04,dark,low
509.5,2.40E-04,dark,low
510,1.80E-04,dark,low
510.5,9.97E-05,dark,low
511,1.60E-04,dark,low
511.5,4.11E-05,dark,low
512,1.71E-04,dark,low
512.5,1.39E-05,dark,low
513,7.17E-05,dark,low
513.5,1.17E-04,dark,low
514,1.35E-04,dark,low
514.5,2.97E-05,dark,low
515,1.40E-04,dark,low
515.5,1.35E-04,dark,low
516,1.54E-04,dark,low
516.5,1.26E-04,dark,low
517,5.06E-05,dark,low
517.5,2.15E-04,dark,low
518,3.37E-04,dark,low
518.5,2.61E-04,dark,low
519,1.03E-04,dark,low
519.5,1.37E-04,dark,low
520,1.21E-04,dark,low
520.5,1.89E-04,dark,low
521,7.40E-05,dark,low
521.5,2.13E-05,dark,low
522,1.09E-04,dark,low
522.5,1.96E-04,dark,low
523,3.08E-04,dark,low
523.5,1.96E-04,dark,low
524,3.65E-04,dark,low
524.5,4.11E-04,dark,low
525,3.70E-04,dark,low
525.5,3.87E-04,dark,low
526,4.59E-04,dark,low
526.5,5.24E-04,dark,low
527,4.09E-04,dark,low
527.5,3.26E-04,dark,low
528,2.91E-04,dark,low
528.5,2.55E-04,dark,low
529,2.25E-04,dark,low
529.5,3.04E-04,dark,low
530,2.95E-04,dark,low
530.5,3.98E-04,dark,low
531,4.92E-04,dark,low
531.5,4.37E-04,dark,low
532,4.86E-04,dark,low
532.5,6.30E-04,dark,low
533,4.68E-04,dark,low
533.5,6.99E-04,dark,low
534,6.80E-04,dark,low
534.5,5.55E-04,dark,low
535,5.97E-04,dark,low
535.5,5.67E-04,dark,low
536,5.89E-04,dark,low
536.5,7.58E-04,dark,low
537,6.86E-04,dark,low
537.5,4.75E-04,dark,low
538,4.17E-04,dark,low
538.5,4.53E-04,dark,low
539,3.98E-04,dark,low
539.5,3.30E-04,dark,low
540,5.66E-04,dark,low
540.5,4.51E-04,dark,low
541,4.82E-04,dark,low
541.5,4.66E-04,dark,low
542,5.46E-04,dark,low
542.5,5.66E-04,dark,low
543,6.06E-04,dark,low
543.5,8.72E-04,dark,low
544,1.04E-03,dark,low
544.5,1.31E-03,dark,low
545,1.63E-03,dark,low
545.5,2.01E-03,dark,low
546,2.19E-03,dark,low
546.5,1.96E-03,dark,low
547,1.74E-03,dark,low
547.5,1.31E-03,dark,low
548,1.03E-03,dark,low
548.5,8.96E-04,dark,low
549,7.18E-04,dark,low
549.5,6.54E-04,dark,low
550,6.43E-04,dark,low
550.5,6.17E-04,dark,low
551,3.87E-04,dark,low
551.5,4.88E-04,dark,low
552,4.55E-04,dark,low
552.5,6.50E-04,dark,low
553,8.45E-04,dark,low
553.5,8.26E-04,dark,low
554,8.43E-04,dark,low
554.5,7.89E-04,dark,low
555,9.77E-04,dark,low
