Wavelength,Value,Boxcolor,Lightintensity
443.5,1.67E-01,blue,low
444,1.66E-01,blue,low
444.5,1.66E-01,blue,low
445,1.66E-01,blue,low
445.5,1.67E-01,blue,low
446,1.68E-01,blue,low
446.5,1.69E-01,blue,low
447,1.70E-01,blue,low
447.5,1.72E-01,blue,low
448,1.73E-01,blue,low
448.5,1.73E-01,blue,low
449,1.75E-01,blue,low
449.5,1.76E-01,blue,low
450,1.78E-01,blue,low
450.5,1.79E-01,blue,low
451,1.79E-01,blue,low
451.5,1.80E-01,blue,low
452,1.81E-01,blue,low
452.5,1.82E-01,blue,low
453,1.82E-01,blue,low
453.5,1.83E-01,blue,low
454,1.84E-01,blue,low
454.5,1.85E-01,blue,low
455,1.86E-01,blue,low
455.5,1.88E-01,blue,low
456,1.88E-01,blue,low
456.5,1.90E-01,blue,low
457,1.90E-01,blue,low
457.5,1.91E-01,blue,low
458,1.92E-01,blue,low
458.5,1.92E-01,blue,low
459,1.93E-01,blue,low
459.5,1.94E-01,blue,low
460,1.95E-01,blue,low
460.5,1.96E-01,blue,low
461,1.97E-01,blue,low
461.5,1.98E-01,blue,low
462,1.99E-01,blue,low
462.5,2.00E-01,blue,low
463,2.00E-01,blue,low
463.5,2.01E-01,blue,low
464,2.02E-01,blue,low
464.5,2.03E-01,blue,low
465,2.04E-01,blue,low
465.5,2.05E-01,blue,low
466,2.05E-01,blue,low
466.5,2.05E-01,blue,low
467,2.06E-01,blue,low
467.5,2.07E-01,blue,low
468,2.08E-01,blue,low
468.5,2.08E-01,blue,low
469,2.08E-01,blue,low
469.5,2.09E-01,blue,low
470,2.09E-01,blue,low
470.5,2.10E-01,blue,low
471,2.10E-01,blue,low
471.5,2.10E-01,blue,low
472,2.10E-01,blue,low
472.5,2.11E-01,blue,low
473,2.12E-01,blue,low
473.5,2.12E-01,blue,low
474,2.12E-01,blue,low
474.5,2.13E-01,blue,low
475,2.13E-01,blue,low
475.5,2.13E-01,blue,low
476,2.14E-01,blue,low
476.5,2.14E-01,blue,low
477,2.13E-01,blue,low
477.5,2.14E-01,blue,low
478,2.14E-01,blue,low
478.5,2.14E-01,blue,low
479,2.14E-01,blue,low
479.5,2.14E-01,blue,low
480,2.15E-01,blue,low
480.5,2.14E-01,blue,low
481,2.15E-01,blue,low
481.5,2.15E-01,blue,low
482,2.15E-01,blue,low
482.5,2.15E-01,blue,low
483,2.16E-01,blue,low
483.5,2.16E-01,blue,low
484,2.16E-01,blue,low
484.5,2.16E-01,blue,low
485,2.16E-01,blue,low
485.5,2.16E-01,blue,low
486,2.16E-01,blue,low
486.5,2.17E-01,blue,low
487,2.16E-01,blue,low
487.5,2.16E-01,blue,low
488,2.16E-01,blue,low
488.5,2.17E-01,blue,low
489,2.17E-01,blue,low
489.5,2.18E-01,blue,low
490,2.20E-01,blue,low
490.5,2.25E-01,blue,low
